XYDATA;PWO.jws
320,0000;1,52924
320,5000;1,64454
321,0000;1,21434
321,5000;0,89556
322,0000;1,87459
322,5000;1,88634
323,0000;1,4583
323,5000;1,42446
324,0000;0,875869
324,5000;1,67242
325,0000;1,36563
325,5000;1,43728
326,0000;1,54877
326,5000;1,17852
327,0000;1,36702
327,5000;1,12556
328,0000;1,07208
328,5000;1,63988
329,0000;1,50443
329,5000;1,29494
330,0000;2,12911
330,5000;2,11566
331,0000;1,81341
331,5000;1,28161
332,0000;2,52523
332,5000;2,21778
333,0000;1,36107
333,5000;1,93863
334,0000;2,38253
334,5000;2,39126
335,0000;1,85062
335,5000;2,12096
336,0000;2,0564
336,5000;2,41564
337,0000;2,60719
337,5000;2,92835
338,0000;2,95164
338,5000;2,95484
339,0000;2,65136
339,5000;2,66629
340,0000;3,45073
340,5000;4,15529
341,0000;2,96645
341,5000;3,17437
342,0000;3,26866
342,5000;3,08206
343,0000;3,82662
343,5000;4,6396
344,0000;4,56983
344,5000;3,82056
345,0000;4,36446
345,5000;3,63014
346,0000;4,08586
346,5000;4,09892
347,0000;4,80977
347,5000;5,80973
348,0000;4,55034
348,5000;6,05764
349,0000;4,84071
349,5000;5,20646
350,0000;5,99159
350,5000;4,90185
351,0000;5,54436
351,5000;5,32577
352,0000;6,45848
352,5000;6,49777
353,0000;6,77497
353,5000;7,33722
354,0000;6,53862
354,5000;7,3363
355,0000;7,63375
355,5000;6,59319
356,0000;7,43769
356,5000;9,24163
357,0000;7,09934
357,5000;7,19155
358,0000;9,2066
358,5000;7,88043
359,0000;9,1917
359,5000;8,70928
360,0000;9,9137
360,5000;9,17358
361,0000;8,67964
361,5000;9,72998
362,0000;10,0598
362,5000;7,97449
363,0000;10,6146
363,5000;9,92461
364,0000;9,94232
364,5000;11,1985
365,0000;9,78825
365,5000;9,23932
366,0000;9,89262
366,5000;10,3242
367,0000;10,6734
367,5000;10,632
368,0000;11,397
368,5000;11,6804
369,0000;12,5496
369,5000;13,6871
370,0000;12,2638
370,5000;13,8307
371,0000;12,3937
371,5000;14,655
372,0000;13,6773
372,5000;14,5598
373,0000;13,7188
373,5000;15,7808
374,0000;15,0527
374,5000;14,5624
375,0000;16,1117
375,5000;15,4249
376,0000;16,438
376,5000;16,8707
377,0000;15,411
377,5000;14,8996
378,0000;17,328
378,5000;16,4283
379,0000;17,5244
379,5000;18,8602
380,0000;17,7849
380,5000;17,1982
381,0000;17,5903
381,5000;18,8383
382,0000;18,1918
382,5000;17,5911
383,0000;19,2895
383,5000;21,9511
384,0000;20,8217
384,5000;19,8047
385,0000;20,9566
385,5000;22,946
386,0000;22,0067
386,5000;20,4291
387,0000;23,2622
387,5000;23,4786
388,0000;23,7776
388,5000;23,1245
389,0000;23,7587
389,5000;23,6405
390,0000;25,7757
390,5000;24,8713
391,0000;23,9037
391,5000;25,3146
392,0000;23,8339
392,5000;22,7026
393,0000;26,2858
393,5000;26,3854
394,0000;26,1126
394,5000;25,5706
395,0000;27,8879
395,5000;27,0247
396,0000;26,5463
396,5000;29,1158
397,0000;27,853
397,5000;27,615
398,0000;28,0146
398,5000;29,635
399,0000;30,7266
399,5000;28,7296
400,0000;29,2326
400,5000;28,1962
401,0000;32,2115
401,5000;31,7505
402,0000;31,318
402,5000;31,685
403,0000;32,8362
403,5000;32,2449
404,0000;29,4046
404,5000;33,0715
405,0000;34,7982
405,5000;34,6178
406,0000;34,3813
406,5000;32,4702
407,0000;34,061
407,5000;35,7183
408,0000;36,4068
408,5000;36,4105
409,0000;37,9836
409,5000;37,7247
410,0000;36,7886
410,5000;37,1391
411,0000;35,2298
411,5000;37,9522
412,0000;37,6812
412,5000;41,4884
413,0000;38,1228
413,5000;39,7578
414,0000;38,5773
414,5000;41,9454
415,0000;39,3763
415,5000;38,8217
416,0000;40,3112
416,5000;41,2082
417,0000;40,1345
417,5000;39,7694
418,0000;43,6871
418,5000;42,8198
419,0000;43,295
419,5000;41,5944
420,0000;42,1255
420,5000;42,8453
421,0000;44,1654
421,5000;43,489
422,0000;41,1687
422,5000;41,7382
423,0000;42,7494
423,5000;41,9915
424,0000;43,6024
424,5000;40,9922
425,0000;41,4697
425,5000;42,7965
426,0000;44,7556
426,5000;45,2713
427,0000;43,322
427,5000;43,5199
428,0000;44,9106
428,5000;43,7837
429,0000;43,0937
429,5000;43,3696
430,0000;42,772
430,5000;42,5525
431,0000;41,7766
431,5000;42,2984
432,0000;41,1531
432,5000;45,164
433,0000;46,3693
433,5000;47,0334
434,0000;42,0426
434,5000;44,2845
435,0000;44,4626
435,5000;44,5315
436,0000;42,2567
436,5000;42,2068
437,0000;42,8895
437,5000;42,9241
438,0000;43,3086
438,5000;45,3445
439,0000;42,1289
439,5000;42,3114
440,0000;44,0589
440,5000;42,803
441,0000;43,4409
441,5000;42,147
442,0000;43,2992
442,5000;42,6781
443,0000;41,6059
443,5000;42,7701
444,0000;43,7998
444,5000;41,8372
445,0000;43,2202
445,5000;42,5667
446,0000;41,904
446,5000;42,5997
447,0000;42,7584
447,5000;42,9419
448,0000;42,0068
448,5000;41,2815
449,0000;41,0016
449,5000;42,8744
450,0000;40,1697
450,5000;40,1511
451,0000;40,8721
451,5000;41,2545
452,0000;41,415
452,5000;40,8941
453,0000;39,1188
453,5000;39,7036
454,0000;40,004
454,5000;37,8984
455,0000;37,3642
455,5000;37,6001
456,0000;39,1313
456,5000;38,064
457,0000;39,9968
457,5000;40,5705
458,0000;39,9656
458,5000;37,8453
459,0000;37,8798
459,5000;37,1652
460,0000;35,9069
460,5000;37,8354
461,0000;36,3941
461,5000;36,483
462,0000;35,3581
462,5000;35,06
463,0000;35,7505
463,5000;36,6938
464,0000;36,1109
464,5000;35,868
465,0000;33,8077
465,5000;34,99
466,0000;36,1664
466,5000;34,2541
467,0000;33,1793
467,5000;34,0593
468,0000;32,5729
468,5000;32,003
469,0000;33,2245
469,5000;32,5747
470,0000;30,4604
470,5000;32,0598
471,0000;33,9189
471,5000;31,4064
472,0000;31,9275
472,5000;30,1178
473,0000;32,2224
473,5000;30,7422
474,0000;28,3299
474,5000;30,4294
475,0000;30,3493
475,5000;30,6964
476,0000;28,9656
476,5000;30,1285
477,0000;29,1046
477,5000;28,8405
478,0000;27
478,5000;27,7753
479,0000;26,5475
479,5000;28,5657
480,0000;28,6532
480,5000;28,8781
481,0000;26,6035
481,5000;28,4958
482,0000;24,0495
482,5000;25,9048
483,0000;25,3199
483,5000;25,3098
484,0000;24,9223
484,5000;25,1881
485,0000;26,5778
485,5000;25,9105
486,0000;26,1636
486,5000;24,4103
487,0000;23,7183
487,5000;22,844
488,0000;23,9072
488,5000;24,9946
489,0000;24,2164
489,5000;24,7788
490,0000;24,1274
490,5000;23,7414
491,0000;21,9972
491,5000;22,0183
492,0000;23,8392
492,5000;20,9687
493,0000;20,9976
493,5000;24,3965
494,0000;22,409
494,5000;20,4738
495,0000;21,0818
495,5000;20,6111
496,0000;20,2264
496,5000;21,4475
497,0000;20,3544
497,5000;20,6172
498,0000;19,5151
498,5000;20,5604
499,0000;20,5313
499,5000;20,1947
500,0000;20,2887
500,5000;18,0292
501,0000;17,5449
501,5000;19,2354
502,0000;18,8501
502,5000;17,5365
503,0000;17,9239
503,5000;17,3665
504,0000;16,696
504,5000;17,6419
505,0000;17,5999
505,5000;16,2022
506,0000;16,4884
506,5000;16,2071
507,0000;17,1229
507,5000;16,2058
508,0000;16,805
508,5000;15,2028
509,0000;17,5523
509,5000;14,1788
510,0000;14,3354
510,5000;14,5354
511,0000;13,5465
511,5000;13,9783
512,0000;13,2901
512,5000;15,3799
513,0000;14,3823
513,5000;15,3693
514,0000;14,6657
514,5000;14,9511
515,0000;14,3537
515,5000;14,6691
516,0000;13,7601
516,5000;14,119
517,0000;14,3555
517,5000;14,4732
518,0000;13,8651
518,5000;11,5048
519,0000;13,244
519,5000;14,7462
520,0000;12,7824
520,5000;13,4439
521,0000;13,8797
521,5000;11,9349
522,0000;13,1028
522,5000;13,5602
523,0000;12,7039
523,5000;13,4501
524,0000;13,3979
524,5000;12,6625
525,0000;12,8651
525,5000;12,6743
526,0000;12,0667
526,5000;13,4801
527,0000;10,6828
527,5000;11,9464
528,0000;11,3294
528,5000;12,5645
529,0000;10,8762
529,5000;13,3073
530,0000;13,8085
530,5000;12,8335
531,0000;12,1141
531,5000;11,7296
532,0000;11,4003
532,5000;13,3562
533,0000;12,0972
533,5000;11,953
534,0000;12,7759
534,5000;15,0476
535,0000;12,5833
535,5000;10,5809
536,0000;11,6095
536,5000;12,2567
537,0000;12,4887
537,5000;11,59
538,0000;11,8049
538,5000;11,3236
539,0000;11,5347
539,5000;11,2456
540,0000;12,2613
540,5000;12,3231
541,0000;11,5029
541,5000;10,9441
542,0000;10,9639
542,5000;10,1958
543,0000;12,0094
543,5000;12,5733
544,0000;10,7262
544,5000;10,6437
545,0000;11,4618
545,5000;10,1898
546,0000;11,6687
546,5000;12,142
547,0000;11,5756
547,5000;11,1162
548,0000;10,7441
548,5000;10,4692
549,0000;10,7343
549,5000;10,601
550,0000;9,77525
550,5000;11,868
551,0000;10,892
551,5000;9,21219
552,0000;10,1798
552,5000;10,8342
553,0000;11,5547
553,5000;9,4956
554,0000;10,2387
554,5000;10,4285
555,0000;10,7922
555,5000;11,3367
556,0000;10,276
556,5000;9,76147
557,0000;8,56203
557,5000;10,1639
558,0000;9,39646
558,5000;9,69294
559,0000;8,29091
559,5000;9,42437
560,0000;9,30507
560,5000;8,9269
561,0000;9,07212
561,5000;9,28833
562,0000;8,66495
562,5000;8,50486
563,0000;9,17899
563,5000;8,42608
564,0000;8,60731
564,5000;8,38188
565,0000;8,59328
565,5000;9,17221
566,0000;9,1558
566,5000;8,22081
567,0000;8,8096
567,5000;8,21253
568,0000;8,3274
568,5000;7,54565
569,0000;7,58181
569,5000;8,03401
570,0000;7,58677
570,5000;8,47582
571,0000;7,03946
571,5000;6,7971
572,0000;7,69177
572,5000;6,97151
573,0000;7,78114
573,5000;7,78426
574,0000;6,97094
574,5000;9,45648
575,0000;7,67664
575,5000;6,6209
576,0000;6,71927
576,5000;8,47247
577,0000;6,90767
577,5000;7,13459
578,0000;7,36542
578,5000;6,93446
579,0000;6,82177
579,5000;6,66251
580,0000;7,59266
580,5000;6,69674
581,0000;6,51628
581,5000;7,39956
582,0000;6,7426
582,5000;6,4751
583,0000;6,22076
583,5000;7,19905
584,0000;6,71974
584,5000;7,12342
585,0000;7,0441
585,5000;6,16321
586,0000;7,03702
586,5000;6,9806
587,0000;6,37903
587,5000;6,99615
588,0000;6,09226
588,5000;6,58699
589,0000;6,28774
589,5000;6,02006
590,0000;6,59091
590,5000;6,55009
591,0000;5,68892
591,5000;6,71492
592,0000;6,334
592,5000;6,17066
593,0000;5,26006
593,5000;5,99331
594,0000;5,35181
594,5000;4,18527
595,0000;4,88647
595,5000;5,71365
596,0000;5,45404
596,5000;4,82267
597,0000;5,54822
597,5000;5,40087
598,0000;5,83048
598,5000;5,74994
599,0000;5,17743
599,5000;4,81413
600,0000;6,12215
600,5000;5,30649
601,0000;5,68484
601,5000;6,19523
602,0000;4,64028
602,5000;5,23396
603,0000;4,4164
603,5000;3,71007
604,0000;5,87753
604,5000;5,63494
605,0000;5,17199
605,5000;5,17
606,0000;5,61508
606,5000;4,77113
607,0000;5,99272
607,5000;4,49186
608,0000;4,52617
608,5000;4,77743
609,0000;4,04081
609,5000;3,79582
610,0000;4,71065
610,5000;4,15983
611,0000;5,11074
611,5000;4,3049
612,0000;4,33633
612,5000;4,98455
613,0000;4,85728
613,5000;4,49905
614,0000;5,1387
614,5000;5,3284
615,0000;4,2896
615,5000;3,64207
616,0000;4,42557
616,5000;5,05089
617,0000;4,13198
617,5000;4,54202
618,0000;4,1872
618,5000;4,36961
619,0000;4,38035
619,5000;4,94272
620,0000;4,39456
620,5000;3,86219
621,0000;3,73219
621,5000;3,81943
622,0000;3,62139
622,5000;3,1413
623,0000;3,81321
623,5000;3,97484
624,0000;3,98313
624,5000;3,93876
625,0000;3,61267
625,5000;4,038
626,0000;4,3482
626,5000;3,53663
627,0000;2,6462
627,5000;4,1935
628,0000;3,12318
628,5000;3,25524
629,0000;3,55719
629,5000;3,54929
630,0000;3,5085
630,5000;3,1366
631,0000;3,53984
631,5000;2,37674
632,0000;3,83649
632,5000;3,24559
633,0000;3,63479
633,5000;3,47842
634,0000;2,66011
634,5000;4,57007
635,0000;2,61709
635,5000;3,1333
636,0000;3,40683
636,5000;3,056
637,0000;3,05773
637,5000;3,35322
638,0000;3,4639
638,5000;2,59797
639,0000;3,13372
639,5000;3,51299
640,0000;2,92068
640,5000;3,11077
641,0000;3,64743
641,5000;3,72297
642,0000;3,87594
642,5000;3,26052
643,0000;2,92791
643,5000;3,08551
644,0000;3,03797
644,5000;2,98311
645,0000;3,32692
645,5000;2,84012
646,0000;3,30055
646,5000;2,49895
647,0000;2,94957
647,5000;3,5162
648,0000;3,60861
648,5000;2,64582
649,0000;2,57294
649,5000;4,33166
650,0000;3,12327
650,5000;2,69902
651,0000;2,92435
651,5000;3,54956
652,0000;2,41341
652,5000;2,64184
653,0000;3,03145
653,5000;2,81687
654,0000;2,94386
654,5000;2,57281
655,0000;2,90895
655,5000;2,21079
656,0000;2,79729
656,5000;3,19524
657,0000;2,48176
657,5000;2,70947
658,0000;2,33488
658,5000;3,14018
659,0000;2,75948
659,5000;2,98105
660,0000;3,05461
660,5000;2,23949
661,0000;2,05721
661,5000;2,23703
662,0000;2,76993
662,5000;2,24314
663,0000;2,30849
663,5000;2,21909
664,0000;2,13252
664,5000;2,28405
665,0000;2,36429
665,5000;3,08364
666,0000;2,63954
666,5000;2,29757
667,0000;2,0965
667,5000;2,60513
668,0000;2,08921
668,5000;2,05848
669,0000;2,43076
669,5000;2,05528
670,0000;2,19191
670,5000;2,04849
671,0000;2,51352
671,5000;2,2479
672,0000;2,27415
672,5000;2,99557
673,0000;2,08709
673,5000;1,44773
674,0000;2,37797
674,5000;2,69865
675,0000;2,54386
675,5000;2,33897
676,0000;1,76743
676,5000;2,10694
677,0000;1,93538
677,5000;2,21064
678,0000;2,10373
678,5000;1,85639
679,0000;1,86537
679,5000;2,51733
680,0000;1,79048
680,5000;2,38423
681,0000;2,36679
681,5000;2,295
682,0000;2,09725
682,5000;1,78752
683,0000;2,03407
683,5000;2,00972
684,0000;1,66017
684,5000;1,99275
685,0000;2,30672
685,5000;2,33907
686,0000;1,52285
686,5000;1,81808
687,0000;1,97426
687,5000;1,74808
688,0000;1,73194
688,5000;2,44502
689,0000;2,23686
689,5000;2,51771
690,0000;1,9564
690,5000;1,79773
691,0000;2,05437
691,5000;2,14283
692,0000;1,88007
692,5000;1,88647
693,0000;1,95378
693,5000;2,33869
694,0000;2,2225
694,5000;2,28915
695,0000;2,58379
695,5000;1,68142
696,0000;1,60171
696,5000;1,37964
697,0000;2,21544
697,5000;1,83588
698,0000;1,55646
698,5000;1,87983
699,0000;2,36034
699,5000;2,26024
700,0000;1,75124
